one,two,three,four,five,six,seven,eight,id,hui
       ,       ,       ,       ,       ,       ,       ,       ,lcd_line_0,LCD ROW 1
       ,       ,       ,       ,       ,       ,       ,       ,lcd_line_1,LCD ROW 2
100,0,0,0,0,0,0,0,pitchwheel_0,Fader
0,0,0,0,0,0,0,0,note_on_0,Redord Button Position
0,0,0,0,0,0,0,0,note_on_1,Solo Button Position
0,0,0,0,0,0,0,0,note_on_2,Mute Button Position
0,0,0,0,0,0,0,0,note_on_3,Select Button Position
0,0,0,0,0,0,0,0,note_on_4,Knob Button Position
0,0,0,0,0,0,0,0,control_change_2,Knob Delta
0,0,0,0,0,0,0,0,note_led_on_0,Record Active
0,0,0,0,0,0,0,0,note_led_on_1,Solo Active
0,0,0,0,0,0,0,0,note_led_on_2,Mute Active
0,0,0,0,0,0,0,0,note_led_on_3,Select Active
6,6,6,6,6,6,6,6,control_change_6,Knob State
0,0,0,0,0,0,0,0,note_on_5,
0,0,0,0,0,0,0,0,note_on_6,
0,0,0,0,0,0,0,0,note_on_7,
0,0,0,0,0,0,0,0,note_on_8,
0,0,0,0,0,0,0,0,note_on_9,
0,0,0,0,0,0,0,0,note_on_10,
0,0,0,0,0,0,0,0,note_on_11,
0,0,0,0,0,0,0,0,note_on_12,
0,0,0,0,0,0,0,0,note_on_13,
0,0,0,0,0,0,0,0,note_on_14,
0,0,0,0,0,0,0,0,note_on_15,
0,0,0,0,0,0,0,0,note_led_on_4,
0,0,0,0,0,0,0,0,note_led_on_4,
0,0,0,0,0,0,0,0,note_led_on_5,
0,0,0,0,0,0,0,0,note_led_on_6,
0,0,0,0,0,0,0,0,note_led_on_7,
0,0,0,0,0,0,0,0,note_led_on_8,
0,0,0,0,0,0,0,0,note_led_on_9,
0,0,0,0,0,0,0,0,note_led_on_10,
0,0,0,0,0,0,0,0,note_led_on_11,
0,0,0,0,0,0,0,0,note_led_on_12,
0,0,0,0,0,0,0,0,note_led_on_13,
0,0,0,0,0,0,0,0,note_led_on_14,
0,0,0,0,0,0,0,0,note_led_on_15,
0,0,0,0,0,0,0,0,control_change_0,
0,0,0,0,0,0,0,0,control_change_1,
0,0,0,0,0,0,0,0,control_change_3,
0,0,0,0,0,0,0,0,control_change_4,
0,0,0,0,0,0,0,0,control_change_5,
0,0,0,0,0,0,0,0,control_change_7,
0,0,0,0,0,0,0,0,control_change_8,
0,0,0,0,0,0,0,0,control_change_9,
0,0,0,0,0,0,0,0,control_change_10,
0,0,0,0,0,0,0,0,control_change_11,
0,0,0,0,0,0,0,0,control_change_12,
0,0,0,0,0,0,0,0,control_change_13,
0,0,0,0,0,0,0,0,control_change_14,
0,0,0,0,0,0,0,0,control_change_15,
